job titles,company_name,location_names,salary,skills,skills2,quality
IOS Application development,Suretek Infosoft Pvt. Ltd.,India,"173,204","Programming & Development
																					

iOS App DevelopmentApp DevelopmentApp Store Optimization (ASO)AppleBack End Development","['App Development', 'App Store Optimization (ASO)', 'Apple', 'Back End Development', 'C#', 'Cocoa', 'Cocos2D', 'Ecommerce', 'E-Learning', 'Geolocation', 'Hotel Booking', 'iBeacon', 'iOS', 'iOS Development', 'Ipad Development', 'Iphone App Development', 'Iphone Application Development', 'Iphone Sdk', 'JavaScript', 'Mobile App Development', 'Social Networking Apps', 'Software Development', 'Swift', 'Twilio']",100%
iOS App development,Avion-Technology-Inc-Chicago,United States,"158,239","Programming & Development
																					

iOS App Development3rd Party API IntegrationBusiness ConsultingCore DataGPS","['3rd Party API Integration', 'Business Consulting', 'Core Data', 'GPS', 'iOS', 'Iphone App Design', 'Iphone App Development', 'Mobile Application Development', 'Push Notification', 'SQLite', 'Swift', 'X-code']",100%
iOS Application Development,Omkar Software,India,"33,390","Programming & Development
																					

iOS App DevelopmentApp DesignApplication DevelopmentBack End DevelopmentBackend","['App Design', 'Application Development', 'Back End Development', 'Backend', 'Design', 'Game Development', 'iOS', 'iPad', 'iPhone', 'iPod', 'Mobile Application Design', 'Mobile Application Development', 'Process Design', 'Programming', 'Software Development', 'Talent Management', 'Validation Engineering']",100%
Android and iOS App Development,Top Guru Assistants,United States,"373,170","Programming & Development
																					

Apps & Mobile
iOS App DevelopmentAjaxAngular JsAPIAPI Development","['Ajax', 'Angular Js', 'API', 'API Development', 'Bootstrap', 'CSS Javascript', 'Customer Relationship Management (CRM)', 'DotNetNuke', 'Ecommerce Development', 'HTML5', 'JSON', 'Kentico', 'Lamp Stack', 'Mean Stack', 'Microsoft SQL Server', 'MongoDB', 'MySQL', 'Nodejs', 'Photoshop Design', 'Point of Sale Solutions', 'PostgreSQL', 'PSD to WordPress', 'REST API', 'Volusion', 'XML']",99.6%
iOS App Development,Bhaumik P,India,"79,824","Programming & Development
																					

Apps & Mobile
iOS App DevelopmentApp & Mobile ProgrammingApp DevelopmentAppleApple Cocoa","['App & Mobile Programming', 'App Development', 'Apple', 'Apple Cocoa', 'Apple Cocoa Touch', 'Apple Push Notification Service', 'Cocoa', 'Creative', 'Customer Service', 'Data Management', 'Database Development', 'Design', 'iOS', 'Logo Design', 'Objective-C', 'Payment Gateway Integration', 'Paypal', 'Process Design', 'Prototype', 'Purchasing Management', 'Push Notification', 'Skill', 'Swift', 'Swift Programming']",100%
Mobile App Development for Andriod & IOS,Doyenhub Software Solution Pvt Ltd,India,"68,106","Programming & Development
																					

iOS App DevelopmentAndriod AppsApp DevelopmentFlutter AppsMobile App Development","['Andriod Apps', 'App Development', 'Flutter Apps', 'iOS App Development', 'Mobile App Development', 'Mobile Development']",100%
Android | IOS App Development,Kavita Bhatt,India,"56,013","Programming & Development
																					

iOS App DevelopmentAndroidAndroid DevelopmentApp DesignApp Development","['Android', 'Android Development', 'App Design', 'App Development', 'Art', 'Blackberry', 'Game Design', 'Game Development', 'Graphic Design', 'iOS', 'iPhone', 'MySQL', 'PhoneGap', 'Responsive Web Design']",100%
iOS / iPhone App Development,Flexsin Technologies,India,"69,103","Programming & Development
																					

iOS App DevelopmentAppleC#CocoaCocoa Touch","['Apple', 'C#', 'Cocoa', 'Cocoa Touch', 'Cocos2D', 'Ecommerce', 'E-Learning', 'Gaming', 'Healthcare Application Development', 'Hotel Booking', 'iOS', 'iOS Development', 'iOS Programming', 'ipad Design', 'Ipad Development', 'Iphone App Development', 'Iphone Application Development', 'Iphone Sdk', 'JavaScript', 'Mobile App Development', 'Social Networking Apps', 'Swift', 'Twilio', 'Unity 3D']",100%
iPhone | iPad Application development,Narola Infotech Solutions LLP,India,"60,472","Programming & Development
																					

Apps & Mobile
iOS App DevelopmentApp DevelopmentAppleE-CommerceEvent Planning","['App Development', 'Apple', 'E-Commerce', 'Event Planning', 'Financial Analysis', 'Healthcare Consulting', 'Hotel Booking', 'iOS', 'iOS Development', 'iOS Programming', 'iPad', 'ipad Design', 'Ipad Development', 'iPhone', 'Iphone App Development', 'Iphone Application Development', 'Iphone Design', 'Iphone Sdk', 'Mobile Development', 'Objective-C', 'Software Development', 'Startup Consulting', 'Swift', 'Travel Planning', 'Xcode']",100%
iOS App development,OffRoadStudios,United States,"21,893","Programming & Development
																					

Apps & Mobile
iOS App DevelopmentApp & Mobile ProgrammingApp DevelopmentCommunication SkillsiPhone","['App & Mobile Programming', 'App Development', 'Communication Skills', 'iPhone', 'Mobile App Marketing', 'Mobile Development', 'Process Design', 'Server Administration']",100%
